date,time,symbol,price,variance,slope,trend
2025-03-15,10:39:37.000,BTCUSD,84345.03000,8.834947,-0.138512,Bearish
2025-03-15,10:39:37.000,BTCUSD,84346.58000,9.004671,-0.142100,Bearish
2025-03-15,10:39:38.000,BTCUSD,84347.10000,9.607743,-0.170051,Bearish
2025-03-15,10:39:38.000,BTCUSD,84355.78000,10.240645,-0.145253,Bearish
2025-03-15,10:39:38.000,BTCUSD,84350.88000,9.962306,-0.129099,Bearish
2025-03-15,10:39:38.000,BTCUSD,84350.63000,9.902438,-0.123575,Bearish
2025-03-15,10:39:38.000,BTCUSD,84354.78000,10.243532,-0.091208,Bearish
2025-03-15,10:39:38.000,BTCUSD,84354.09000,10.442298,-0.064852,Bearish
2025-03-15,10:39:39.000,BTCUSD,84348.36500,10.681796,-0.076310,Bearish
2025-03-15,10:39:39.000,BTCUSD,84344.95000,11.804739,-0.103663,Bearish
2025-03-15,10:39:39.000,BTCUSD,84348.32000,11.743284,-0.101409,Bearish
2025-03-15,10:39:39.000,BTCUSD,84345.90000,12.426250,-0.145098,Bearish
2025-03-15,10:39:39.000,BTCUSD,84342.40000,14.624121,-0.205216,Bearish
2025-03-15,10:39:39.000,BTCUSD,84343.10000,15.606883,-0.221905,Bearish
2025-03-15,10:39:39.000,BTCUSD,84343.60000,16.464247,-0.239089,Bearish
2025-03-15,10:39:39.000,BTCUSD,84350.35000,16.452116,-0.228969,Bearish
2025-03-15,10:39:39.000,BTCUSD,84347.84000,16.329584,-0.223418,Bearish
2025-03-15,10:39:39.000,BTCUSD,84346.85000,16.566107,-0.240702,Bearish
2025-03-15,10:39:40.000,BTCUSD,84345.69000,16.996853,-0.259492,Bearish
2025-03-15,10:39:40.000,BTCUSD,84350.06000,15.907413,-0.215425,Bearish
2025-03-15,10:39:40.000,BTCUSD,84349.77000,14.013721,-0.159992,Bearish
2025-03-15,10:39:40.000,BTCUSD,84349.00000,12.893101,-0.120139,Bearish
2025-03-15,10:39:40.000,BTCUSD,84344.17000,12.145020,-0.106321,Bearish
2025-03-15,10:39:40.000,BTCUSD,84343.58000,12.290220,-0.109625,Bearish
2025-03-15,10:39:40.000,BTCUSD,84342.68000,13.218196,-0.141440,Bearish
2025-03-15,10:39:40.000,BTCUSD,84341.09000,14.002253,-0.218019,Bearish
2025-03-15,10:39:40.000,BTCUSD,84340.91000,15.491534,-0.255812,Bearish
2025-03-15,10:39:40.000,BTCUSD,84340.65000,16.819707,-0.284875,Bearish
2025-03-15,10:39:41.000,BTCUSD,84337.30000,19.339965,-0.320791,Bearish
2025-03-15,10:39:41.000,BTCUSD,84340.80000,19.485441,-0.323392,Bearish
2025-03-15,10:39:41.000,BTCUSD,84339.56000,20.952130,-0.377078,Bearish
2025-03-15,10:39:41.000,BTCUSD,84340.02000,22.183879,-0.414673,Bearish
2025-03-15,10:39:41.000,BTCUSD,84339.42000,23.524893,-0.449634,Bearish
2025-03-15,10:39:41.000,BTCUSD,84338.83000,21.449836,-0.425122,Bearish
2025-03-15,10:39:41.000,BTCUSD,84335.87000,23.011877,-0.445959,Bearish
2025-03-15,10:39:41.000,BTCUSD,84335.62000,24.323417,-0.463454,Bearish
2025-03-15,10:39:41.000,BTCUSD,84334.49000,23.257967,-0.452940,Bearish
2025-03-15,10:39:42.000,BTCUSD,84337.24000,20.520778,-0.420415,Bearish
2025-03-15,10:39:42.000,BTCUSD,84343.28000,19.517423,-0.380908,Bearish
2025-03-15,10:39:42.000,BTCUSD,84343.15000,19.361183,-0.363528,Bearish
2025-03-15,10:39:42.000,BTCUSD,84341.92000,18.290818,-0.330042,Bearish
2025-03-15,10:39:42.000,BTCUSD,84341.52000,17.917545,-0.312979,Bearish
2025-03-15,10:39:42.000,BTCUSD,84341.39000,17.947632,-0.318943,Bearish
2025-03-15,10:39:42.000,BTCUSD,84341.89000,17.932292,-0.316405,Bearish
2025-03-15,10:39:42.000,BTCUSD,84343.30000,17.908885,-0.300783,Bearish
2025-03-15,10:39:42.000,BTCUSD,84336.87000,16.506965,-0.279960,Bearish
2025-03-15,10:39:42.000,BTCUSD,84337.27000,15.868654,-0.267869,Bearish
