date,time,symbol,price
2025-03-17,18:19:53.000,BTCUSD,83390.09000
2025-03-17,18:19:53.000,BTCUSD,83389.88000
2025-03-17,18:19:53.000,BTCUSD,83389.88000
2025-03-17,18:19:53.000,BTCUSD,83393.01000
2025-03-17,18:19:53.000,BTCUSD,83393.01000
2025-03-17,18:19:54.000,BTCUSD,83392.50000
2025-03-17,18:19:54.000,BTCUSD,83392.50000
2025-03-17,18:19:54.000,BTCUSD,83389.72000
2025-03-17,18:19:54.000,BTCUSD,83389.72000
2025-03-17,18:19:54.000,BTCUSD,83393.55000
2025-03-17,18:19:54.000,BTCUSD,83393.55000
2025-03-17,18:19:54.000,BTCUSD,83394.80000
2025-03-17,18:19:54.000,BTCUSD,83394.80000
2025-03-17,18:19:54.000,BTCUSD,83400.95000
2025-03-17,18:19:54.000,BTCUSD,83400.95000
2025-03-17,18:19:54.000,BTCUSD,83403.19000
2025-03-17,18:19:54.000,BTCUSD,83403.19000
2025-03-17,18:19:54.000,BTCUSD,83399.58000
2025-03-17,18:19:54.000,BTCUSD,83399.58000
2025-03-17,18:19:55.000,BTCUSD,83398.94000
2025-03-17,18:19:55.000,BTCUSD,83398.94000
2025-03-17,18:19:55.000,BTCUSD,83403.19000
2025-03-17,18:19:55.000,BTCUSD,83403.19000
2025-03-17,18:19:55.000,BTCUSD,83398.56000
2025-03-17,18:19:55.000,BTCUSD,83398.56000
2025-03-17,18:19:55.000,BTCUSD,83398.35000
2025-03-17,18:19:55.000,BTCUSD,83398.35000
2025-03-17,18:19:55.000,BTCUSD,83397.45000
2025-03-17,18:19:55.000,BTCUSD,83397.45000
2025-03-17,18:19:55.000,BTCUSD,83397.45000
2025-03-17,18:19:55.000,BTCUSD,83397.45000
2025-03-17,18:19:55.000,BTCUSD,83396.82000
2025-03-17,18:19:55.000,BTCUSD,83396.82000
2025-03-17,18:19:56.000,BTCUSD,83396.33000
2025-03-17,18:19:56.000,BTCUSD,83396.33000
2025-03-17,18:19:56.000,BTCUSD,83398.88000
2025-03-17,18:19:56.000,BTCUSD,83398.88000
2025-03-17,18:19:56.000,BTCUSD,83397.46000
2025-03-17,18:19:56.000,BTCUSD,83397.46000
2025-03-17,18:19:56.000,BTCUSD,83389.26000
2025-03-17,18:19:56.000,BTCUSD,83389.26000
2025-03-17,18:19:56.000,BTCUSD,83393.13000
